0,1,2,3,4
(In millions),nan,Cost Basis,nan,Fair Value
"June 30, 2025",nan,nan,nan,nan
Due in one year or less,$,"35,108",$,"34,952"
Due after one year through five years,nan,"42,460",nan,"41,481"
Due after five years through 10 years,nan,"6,530",nan,"6,424"
Due after 10 years,nan,"1,491",nan,"1,402"
Total,$,"85,589",$,"84,259"
