0,1,2,3,4
"Year Ended June 30,",nan,2025,2024,2023
Net income available for common shareholders (A),$,"101,832  $","88,136  $","72,361"
Weighted average outstanding shares of common stock (B),nan,"7,433","7,431","7,446"
