0,1,2
"Year Ending June 30,",nan,nan
2026,$,"4,594"
2027,nan,"2,901"
2028,nan,"2,034"
2029,nan,"1,851"
2030,nan,"1,382"
Thereafter,nan,"9,842"
Total,$,"22,604"
