0,1,2,3,4
"Year Ended June 30,",nan,2025,2024,2023
Net income available for common shareholders (A),$,"101,832  $","88,136  $","72,361"
Weighted average outstanding shares of common stock (B),nan,"7,433","7,431","7,446"
Dilutive effect of stock-based awards,nan,32,38,26
Common stock and common stock equivalents (C),nan,"7,465","7,469","7,472"
Earnings Per Share,nan,nan,nan,nan
Basic (A/B),$,13.70  $,11.86  $,9.72
Diluted (A/C),$,13.64  $,11.80  $,9.68
