0,1,2,3,4
nan,nan,nan,nan,Percentage
"(In millions, except percentages and per share amounts)",nan,2025,2024,Change
Revenue,$,"281,724  $","245,122",15%
Gross margin,nan,"193,893","171,008",13%
Operating income,nan,"128,528","109,433",17%
Net income,nan,"101,832","88,136",16%
Diluted earnings per share,nan,13.64,11.80,16%
