0,1,2,3,4,5,6
(In millions),Shares,Amount,Shares,Amount,Shares,Amount
"Year Ended June 30,",nan,2025,nan,2024,nan,2023
First Quarter,7  $,"2,800",11  $,"3,560",17  $,"4,600"
Second Quarter,8,"3,500",7,"2,800",20,"4,600"
Third Quarter,8,"3,500",7,"2,800",18,"4,600"
Fourth Quarter,8,"3,200",7,"2,800",14,"4,600"
Total,31 $,"13,000",32 $,"11,960",69 $,"18,400"
