0,1,2,3,4
nan,nan,"December 28,",nan,"December 30,"
nan,nan,2024,nan,2023
ricas:,nan,nan,nan,nan
Net sales,$,"52,648",$,"50,430"
Operating income,$,"21,509",$,"20,357"
pe:,nan,nan,nan,nan
Net sales,$,"33,861",$,"30,397"
Operating income,$,"14,607",$,"12,711"
ter China:,nan,nan,nan,nan
Net sales,$,"18,513",$,"20,819"
Operating income,$,"8,160",$,"8,622"
n:,nan,nan,nan,nan
Net sales,$,"8,987",$,"7,767"
Operating income,$,"4,314",$,"3,819"
of Asia Pacific:,nan,nan,nan,nan
Net sales,$,"10,291",$,"10,162"
Operating income,$,"4,584",$,"4,579"
