0,1,2,3,4,5
nan,nan,"December 28,",nan,"December 30,",nan
nan,nan,2024,nan,2023,Change
Americas,$,"52,648",$,"50,430",4 %
Europe,nan,"33,861",nan,"30,397",11 %
Greater China,nan,"18,513",nan,"20,819",(11)%
Japan,nan,"8,987",nan,"7,767",16 %
Rest of Asia Pacific,nan,"10,291",nan,"10,162",1 %
Total net sales,$,"124,300",$,"119,575",4 %
