Line Item,2022,2021,Category,Confidence
(,1.0,2.0,Other,0.4
Balance Sheets. (,2.0,2.0,Other,0.4
Company’s derivative contracts,0.0,24.0,Other,0.4
"of September 24,",2022.0,0.0,Other,0.4
effects of collateral,0.0,7.8,Other,0.4
of $7.8 billion,0.0,412.0,Other,0.4
as of September,24.0,2022.0,Other,0.4
2022 and September,25.0,2021.0,Other,0.4
