Line Item,2025,2024,2023,Category,Confidence
December,31.0,0.0,0.0,Other,0.4
Level,1.0,0.0,0.0,Other,0.4
Level,2.0,0.0,0.0,Other,0.4
Level,3.0,0.0,0.0,Other,0.4
Fair value of Interest Rate Swap,472.0,1.0,472.0,Other,0.4
Fair value of Interest Rate Swap,472.0,1.0,0.0,Other,0.4
