0,3,4,7,8,11,12,15,16
Gross amounts of derivatives,318,nan,"(1,490",),331,nan,(800,)
Gross amounts of derivatives offset in the balance sheets,(196,),198,nan,(151,),152,nan
Cash collateral received,0,nan,(18,),0,nan,(104,)
