0,1,2,3,4
nan,nan,nan,Three Months Ended,Percentage
"(In millions, except percentages and per share amounts)",nan,nan,"September 30,",Change
nan,nan,2024,2023,nan
Revenue,$,"65,585","$ 56,517",16%
Gross margin,nan,"45,486","40,215",13%
Operating income,nan,"30,552","26,895",14%
Net income,nan,"24,667","22,291",11%
Diluted earnings per share,nan,3.30,2.99,10%
