0,1,2,3,4
"Three Months Ended September 30,",nan,2024,nan,2023
Net income available for common shareholders (A),$,"24,667",$,"22,291"
Weighted average outstanding shares of common stock (B),nan,"7,433",nan,"7,429"
Dilutive effect of stock-based awards,nan,37,nan,33
Common stock and common stock equivalents (C),nan,"7,470",nan,"7,462"
Earnings Per Share,nan,nan,nan,nan
Basic (A/B),$,3.32,$,3.00
Diluted (A/C),$,3.30,$,2.99
