0,1,2,3
nan,nan,"September 30,",nan
Risk Categories,Hypothetical Change,2024,Impact
Foreign currency – Revenue,10% decrease in foreign exchange rates,"$ (10,349 )",Earnings
Foreign currency – Investments,10% decrease in foreign exchange rates,(39 ),Fair Value
Interest rate,100 basis point increase in U.S. treasury interest,"(1,287 )",Fair Value
nan,rates,nan,nan
Credit,100 basis point increase in credit spreads,(331 ),Fair Value
Equity,10% decrease in equity market prices,"(1,133 )",Earnings
