0,1,2,3,4,5
calendar year),(calendar year),Rate,Rate,nan,2023  2023
2009 issuance of,nan,5.20,5.24,nan,nan
$3.8 billion,2039,%,%,$,520  $ 520
2010 issuance of,nan,4.50,4.57,nan,nan
$4.8 billion,2040,%,%,nan,486486
2011 issuance of,nan,5.30,5.36,nan,nan
$2.3 billion,2041,%,%,nan,718718
2012 issuance of,nan,3.50,3.57,nan,nan
$2.3 billion,2042,%,%,nan,454454
2013 issuance of,nan,3.63 4.88,3.73 4.92,nan,nan
$5.2 billion,2023–2043,%–%,%–%,nan,"1,8141,814"
2013 issuance of,nan,2.63 3.13,2.69 3.22,nan,nan
€4.1 billion,2028–2033,%–%,%–%,nan,"2,4352,509"
2015 issuance of,nan,2.70 4.75,2.77 4.78,nan,nan
nan,nan,nan,nan,nan,"9,805"
$23.8 billion,2025–2055,%–%,%–%,nan,"9,805"
2016 issuance of,nan,2.40 3.95,2.46 4.03,nan,nan
$19.8 billion,2026–2056,%–%,%–%,nan,"7,9309,430"
2017 issuance of,nan,2.88 4.50,3.04 4.53,nan,nan
$17.0 billion,2024–2057,%–%,%–%,nan,"8,9458,945"
2020 issuance of,nan,2.53 2.68,2.53 2.68,nan,nan
$10.0 billion,2050–2060,%–%,%–%,nan,"10,00010,000"
2021 issuance of,nan,2.92 3.04,2.92 3.04,nan,nan
$8.2 billion,2052–2062,%–%,%–%,nan,"8,1858,185"
Total face value,nan,nan,nan,nan,"51,29252,866"
Unamortized discount and,nan,nan,nan,nan,nan
issuance costs,nan,nan,nan,nan,(431)(438)
Hedge fair value,nan,nan,nan,nan,nan
(a),nan,nan,nan,nan,nan
adjustments,nan,nan,nan,nan,(109)(106)
Premium on debt exchange,nan,nan,nan,nan,"(5,058)(5,085)"
Total debt,nan,nan,nan,nan,"45,69447,237"
Current portion of long-term,nan,nan,nan,nan,nan
debt,nan,nan,nan,nan,"(3,748)(5,247)"
Long-term debt,nan,nan,nan,$,"41,946$ 41,990"
