0,1,2,3,4
"Three Months Ended September 30,",nan,2023,nan,2022
Interest and dividends income,$,"1,166",$,641
Interest expense,nan,(525),nan,(500)
Net recognized gains (losses) on investments,nan,(107),nan,13
Net gains on derivatives,nan,93,nan,9
Net losses on foreign currency remeasurements,nan,(101),nan,(78)
"Other, net",nan,(137),nan,(31)
Total,$,389,$,54
