0,1,2,3
nan,"September 30,",nan,"June 30,"
nan,2023,nan,2023
Raw materials,$ 520,$,709
Work in process,15,nan,23
Finished goods,"2,465",nan,"1,768"
Total,"$ 3,000",$,"2,500"
