0,1,2,3
nan,nan,Three Months Ended,Percentage
"(In millions, except percentages and per share amounts)",nan,"September 30,",Change
nan,nan,2023  2022,nan
Revenue,$,"56,517  $ 50,122",13%
Gross margin,nan,"40,215  34,670",16%
Operating income,nan,"26,895  21,518",25%
Net income,nan,"22,291  17,556",27%
Diluted earnings per share,nan,2.99  2.35,27%
