0,1,2,3
nan,"September 30,",nan,"June 30,"
nan,2023,nan,2023
Productivity and Business Processes,"$ 25,316",$,"27,572"
Intelligent Cloud,"19,471",nan,"21,563"
More Personal Computing,"4,401",nan,"4,678"
Total,"$ 49,188",$,"53,813"
