0,1,2,3
"Three Months Ended September 30,",2023,nan,2022
Designated as Fair Value Hedging Instruments,nan,nan,nan
Interest rate contracts,nan,nan,nan
Derivatives  $,(16),$,(43)
Hedged items,3,nan,43
Designated as Cash Flow Hedging Instruments,nan,nan,nan
Foreign exchange contracts,nan,nan,nan
Amount reclassified from accumulated other comprehensive loss,(46),nan,(59)
Not Designated as Hedging Instruments,nan,nan,nan
Foreign exchange contracts,206,nan,240
Equity contracts,113,nan,12
Other contracts,(33),nan,(10)
"Gains (losses), net of tax, on derivative instruments recognized in our consolidated comprehensive income",nan,nan,nan
statements were as follows:,nan,nan,nan
(In millions),nan,nan,nan
"Three Months Ended September 30,",2023,nan,2022
Designated as Cash Flow Hedging Instruments,nan,nan,nan
