0,1,2,3,4
"Three Months Ended September 30,",nan,2023,nan,2022
Net income available for common shareholders (A),$,"22,291",$,"17,556"
Weighted average outstanding shares of common stock (B),nan,"7,429",nan,"7,457"
Dilutive effect of stock-based awards,nan,33,nan,28
Common stock and common stock equivalents (C),nan,"7,462",nan,"7,485"
Earnings Per Share,nan,nan,nan,nan
Basic (A/B),$,3.00,$,2.35
Diluted (A/C),$,2.99,$,2.35
