0,1,2,3,4,5,6,7
Productivity and Business Processes,$,"24,775",$,0.0,$,(16)  $,"24,759"
Intelligent Cloud,nan,"30,469",nan,0.0,nan,(49),"30,420"
More Personal Computing,nan,"12,642",nan,0.0,nan,(31),"12,611"
Total,$,"67,886",$,0.0,$,(96)  $,"67,790"
