0,1,2,3,4
nan,nan,nan,September,nan
nan,nan,nan,"30,",nan
Risk Categories,Hypothetical Change,nan,2023,Impact
Foreign currency – Revenue,10% decrease in foreign exchange rates,$,"(8,240)",Earnings
Foreign currency –,10% decrease in foreign exchange rates,nan,(29),Fair Value
Investments,nan,nan,nan,nan
Interest rate,100 basis point increase in U.S. treasury,nan,"(1,660)",Fair Value
nan,interest rates,nan,nan,nan
Credit,100 basis point increase in credit spreads,nan,(340),Fair Value
Equity,10% decrease in equity market prices,nan,(862),Earnings
