Line Item,2021,Category,Confidence
December,31.0,Other,0.2
compared to the three months ended September,30.0,Other,0.2
This is primarily attributable to continued increases in attendance and industry box office revenues during the year ended December,31.0,Revenue,0.5
compared to the three months ended March,31.0,Other,0.2
