0,1,2,3,4
Change in fair value of derivative instruments,(523),406,810,331
Adjustment for net (gains)/losses realized and included,nan,nan,nan,nan
in net income,(571),(87),(415),(678)
Total change in unrealized gains/losses on,nan,nan,nan,nan
derivative instruments,"(1,094)",319,395,(347)
