0,1,2,3,4,5,6,7,8,9,10
nan,nan,"June 28,",nan,"June 29,",nan,nan,"June 28,",nan,"June 29,",nan
nan,nan,2025,nan,2024,Change,nan,2025,nan,2024,Change
iPhone,$,"44,582",$,"39,296",13 %,$,"160,561",$,"154,961",4 %
Mac,nan,"8,046",nan,"7,009",15 %,nan,"24,982",nan,"22,240",12 %
iPad,nan,"6,581",nan,"7,162",(8)%,nan,"21,071",nan,"19,744",7 %
"Wearables, Home and Accessories",nan,"7,404",nan,"8,097",(9)%,nan,"26,673",nan,"27,963",(5)%
Services,nan,"27,423",nan,"24,213",13 %,nan,"80,408",nan,"71,197",13 %
Total net sales,$,"94,036",$,"85,777",10 %,$,"313,695",$,"296,105",6 %
