0,1,2,3,4
nan,nan,"June 28,",nan,"September 28,"
nan,nan,2025,nan,2024
Components,$,"2,288",$,"3,627"
Finished goods,nan,"3,637",nan,"3,659"
Total inventories,$,"5,925",$,"7,286"
