0,1,2,3,4
Change in fair value of marketable debt securities,640,268.0,90.0,"3,306"
Adjustment for net (gains)/losses realized and included,nan,,,nan
in net income,(1),30.0,404.0,164
Total change in unrealized gains/losses on,nan,,,nan
marketable debt securities,639,298.0,494.0,"3,470"
