0,1,2,3,4,5,6,7,8,9,10
nan,nan,"June 28,",nan,"June 29,",nan,nan,"June 28,",nan,"June 29,",nan
nan,nan,2025,nan,2024,Change,nan,2025,nan,2024,Change
Americas,$,"41,198",$,"37,678",9 %,$,"134,161",$,"125,381",7 %
Europe,nan,"24,014",nan,"21,884",10 %,nan,"82,329",nan,"76,404",8 %
Greater China,nan,"15,369",nan,"14,728",4 %,nan,"49,884",nan,"51,919",(4)%
Japan,nan,"5,782",nan,"5,097",13 %,nan,"22,067",nan,"19,126",15 %
Rest of Asia Pacific,nan,"7,673",nan,"6,390",20 %,nan,"25,254",nan,"23,275",9 %
Total net sales,$,"94,036",$,"85,777",10 %,$,"313,695",$,"296,105",6 %
