0,1,2,3,4,5,6,7,8
nan,nan,"June 29,",nan,"July 1,",nan,"June 29,",nan,"July 1,"
nan,nan,2024,nan,2023,nan,2024,nan,2023
"Total shareholders’ equity, beginning balances",$,"74,194",$,"62,158",$,"62,146",$,"50,672"
Common stock and additional paid-in capital:,nan,nan,nan,nan,nan,nan,nan,nan
Beginning balances,nan,"78,815",nan,"69,568",nan,"73,812",nan,"64,849"
Common stock issued,nan,—,nan,—,nan,752,nan,690
