0,1,2,3,4,5,6,7,8
nan,nan,"June 29,",nan,"July 1,",nan,"June 29,",nan,"July 1,"
nan,nan,2024,nan,2023,nan,2024,nan,2023
Numerator:,nan,nan,nan,nan,nan,nan,nan,nan
Net income,$,"21,448",$,"19,881",$,"79,000",$,"74,039"
Denominator:,nan,nan,nan,nan,nan,nan,nan,nan
Weighted-average basic shares outstanding,nan,"15,287,521",nan,"15,697,614",nan,"15,401,047",nan,"15,792,497"
Effect of dilutive share-based awards,nan,"60,654",nan,"77,407",nan,"62,128",nan,"66,766"
Weighted-average diluted shares,nan,"15,348,175",nan,"15,775,021",nan,"15,463,175",nan,"15,859,263"
Basic earnings per share,$,1.40,$,1.27,$,5.13,$,4.69
Diluted earnings per share,$,1.40,$,1.26,$,5.11,$,4.67
