0,1,2,3,4,5,6,7,8
nan,nan,"June 29,",nan,"July 1,",nan,"June 29,",nan,"July 1,"
nan,nan,2024,nan,2023,nan,2024,nan,2023
ricas:,nan,nan,nan,nan,nan,nan,nan,nan
Net sales,$,"37,678",$,"35,383",$,"125,381",$,"122,445"
Operating income,$,"15,209",$,"13,117",$,"50,640",$,"44,908"
pe:,nan,nan,nan,nan,nan,nan,nan,nan
Net sales,$,"21,884",$,"20,205",$,"76,404",$,"71,831"
Operating income,$,"9,170",$,"7,995",$,"31,872",$,"27,380"
ter China:,nan,nan,nan,nan,nan,nan,nan,nan
Net sales,$,"14,728",$,"15,758",$,"51,919",$,"57,475"
Operating income,$,"5,562",$,"6,207",$,"20,884",$,"24,175"
n:,nan,nan,nan,nan,nan,nan,nan,nan
Net sales,$,"5,097",$,"4,821",$,"19,126",$,"18,752"
Operating income,$,"2,544",$,"2,443",$,"9,498",$,"9,073"
of Asia Pacific:,nan,nan,nan,nan,nan,nan,nan,nan
Net sales,$,"6,390",$,"5,630",$,"23,275",$,"23,284"
Operating income,$,"2,610",$,"2,328",$,"9,995",$,"9,447"
