0,1,2,3,4,5,6,7,8
iPhone,$,"201,183",— %,$,"200,583",(2)%,$,"205,489"
Mac,nan,"29,984",2 %,nan,"29,357",(27)%,nan,"40,177"
iPad,nan,"26,694",(6)%,nan,"28,300",(3)%,nan,"29,292"
"Wearables, Home and Accessories",nan,"37,005",(7)%,nan,"39,845",(3)%,nan,"41,241"
Services (1),nan,"96,169",13 %,nan,"85,200",9 %,nan,"78,129"
Total net sales,$,"391,035",2 %,$,"383,285",(3)%,$,"394,328"
