0,1,2,3,4,5,6
rities 90 days or less:,nan,nan,nan,nan,nan,nan
"Proceeds from/(Repayments of) commercial paper, net",$,"3,960",$,"(1,333)",$,"5,264"
rities greater than 90 days:,nan,nan,nan,nan,nan,nan
Proceeds from commercial paper,nan,—,nan,—,nan,"5,948"
Repayments of commercial paper,nan,—,nan,"(2,645)",nan,"(7,257)"
"Proceeds from/(Repayments of) commercial paper, net",nan,—,nan,"(2,645)",nan,"(1,309)"
"Total proceeds from/(repayments of) commercial paper, net",$,"3,960",$,"(3,978)",$,"3,955"
