0,1,2,3,4,5,6
iPhone,$,"201,183",$,"200,583",$,"205,489"
Mac,nan,"29,984",nan,"29,357",nan,"40,177"
iPad,nan,"26,694",nan,"28,300",nan,"29,292"
"Wearables, Home and Accessories",nan,"37,005",nan,"39,845",nan,"41,241"
Services (1),nan,"96,169",nan,"85,200",nan,"78,129"
Total net sales,$,"391,035",$,"383,285",$,"394,328"
