0,2
"Consolidated Statements of Comprehensive Income for the years ended September 28, 2024, September 30, 2023and September 24, 2022",30.0
"Consolidated Balance Sheets as of September 28, 2024 and September 30, 2023",
"Consolidated Statements of Shareholders’ Equity for the years ended September 28, 2024, September 30, 2023 andSeptember 24, 2022",32.0
"Consolidated Statements of Cash Flows for the years ended September 28, 2024, September 30, 2023 andSeptember 24, 2022",
Notes to Consolidated Financial Statements,34.0
Reports of Independent Registered Public Accounting Firm,
