0,1,2,3,4,5,6,7,8
Americas,$,"167,045",3 %,$,"162,560",(4)%,$,"169,658"
Europe,nan,"101,328",7 %,nan,"94,294",(1)%,nan,"95,118"
Greater China,nan,"66,952",(8)%,nan,"72,559",(2)%,nan,"74,200"
Japan,nan,"25,052",3 %,nan,"24,257",(7)%,nan,"25,977"
Rest of Asia Pacific,nan,"30,658",4 %,nan,"29,615",1 %,nan,"29,375"
Total net sales,$,"391,035",2 %,$,"383,285",(3)%,$,"394,328"
