0,1,2,4,5,6,7,8
nan,nan,2025,2024,nan,2025,nan,2024
Net income available for common shareholders (A),$,"25,824$","21,939",$,"74,599",$,"66,100"
Weighted average outstanding shares of common stock (B),nan,"7,434","7,431",nan,"7,434",nan,"7,431"
Dilutive effect of stock-based awards,nan,27,41,nan,32,nan,36
Common stock and common stock equivalents (C),nan,"7,461","7,472",nan,"7,466",nan,"7,467"
Earnings Per Share,nan,nan,nan,nan,nan,nan,nan
Basic (A/B),$,3.47  $,2.95,$,10.03,$,8.90
Diluted (A/C),$,3.46  $,2.94,$,9.99,$,8.85
