0,1,2,3,4
(In millions),nan,"March 31,",nan,"March 31,"
nan,2025,2024,2025,2024
Revenue,nan,nan,nan,nan
Productivity and Business Processes  $,"29,944  $","27,113  $","87,698  $","78,193"
Intelligent Cloud,"26,751","22,141","76,387","63,679"
More Personal Computing,"13,371","12,604","41,198","38,523"
Total  $,"70,066  $","61,858  $","205,283  $","180,395"
Operating Income,nan,nan,nan,nan
Productivity and Business Processes  $,"17,379  $","15,143  $","50,780  $","43,955"
Intelligent Cloud,"11,095","9,515","32,449","27,978"
More Personal Computing,"3,526","2,923","10,976","9,575"
Total  $,"32,000  $","27,581  $","94,205  $","81,508"
No sales to an individual customer or country other than the United States accounted for more than 10% of revenue for,nan,nan,nan,nan
"the three or nine months ended March 31, 2025 or 2024. Revenue, classified by the major geographic areas in which",nan,nan,nan,nan
"our customers were located, was as follows:",nan,nan,nan,nan
nan,Three Months Ended,nan,Nine Months Ended,nan
(In millions),nan,"March 31,",nan,"March 31,"
nan,2025,2024,2025,2024
