0,1,2,3,4,5,6
nan,nan,2025,2024,nan,2025,2024
Net income,$,"25,824  $","21,939",$,"74,599  $","66,100"
"Other comprehensive income (loss), net of tax:",nan,nan,nan,nan,nan,nan
Net change related to derivatives,nan,(20),10,nan,4,28
Net change related to investments,nan,450,(202),nan,"1,130",869
Translation adjustments and other,nan,353,(294),nan,(377),11
Other comprehensive income (loss),nan,783,(486),nan,757,908
Comprehensive income,$,"26,607  $","21,453",$,"75,356  $","67,008"
