0,1,2,3,4,5,6
"(In millions, except percentages and per share",nan,Three Months Ended,Percentage,nan,Nine Months Ended,Percentage
amounts),nan,"March 31,",Change,nan,"March 31,",Change
nan,nan,2025 2024,nan,nan,2025 2024,nan
Revenue,$,"70,066  $ 61,858",13%,$,"205,283$ 180,395",14%
Gross margin,nan,"48,147 43,353",11%,nan,"141,466125,965",12%
Operating income,nan,"32,000 27,581",16%,nan,"94,20581,508",16%
Net income,nan,"25,824 21,939",18%,nan,"74,59966,100",13%
Diluted earnings per share,nan,3.46 2.94,18%,nan,9.998.85,13%
