0,1,2,3,4,5
nan,nan,2025,2024,2025,2024
Derivatives,nan,nan,nan,nan,nan
"Balance, beginning of period",$,21  $,(9)  $,(3)  $,(27)
"Unrealized gains (losses), net of tax of $5, $(5), $(1), and $1",nan,20,(19),(1),3
Reclassification adjustments for (gains) losses included in other,nan,nan,nan,nan,nan
"income (expense), net",nan,(50),37,7,32
Tax expense (benefit) included in provision for income taxes,nan,10,(8),(2),(7)
Amounts reclassified from accumulated other comprehensive,nan,nan,nan,nan,nan
loss,nan,(40),29,5,25
"Net change related to derivatives, net of tax of $(5), $3, $1, and",nan,nan,nan,nan,nan
$8,nan,(20),10,4,28
"Balance, end of period",$,1  $,1  $,1  $,1
Investments,nan,nan,nan,nan,nan
"Balance, beginning of period",$,"(1,945)  $","(2,511)  $","(2,625)  $","(3,582)"
"Unrealized gains (losses), net of tax of $118, $(56), $294, and",nan,nan,nan,nan,nan
$221,nan,445,(212),"1,110",830
Reclassification adjustments for losses included in other income,nan,nan,nan,nan,nan
"(expense), net",nan,6,13,25,49
Tax benefit included in provision for income taxes,nan,(1),(3),(5),(10)
Amounts reclassified from accumulated other comprehensive,nan,nan,nan,nan,nan
loss,nan,5,10,20,39
"Net change related to investments, net of tax of",nan,nan,nan,nan,nan
"$119, $(53), $299, and $231",nan,450,(202),"1,130",869
"Balance, end of period",$,"(1,495)  $","(2,713)  $","(1,495)  $","(2,713)"
Translation Adjustments and Other,nan,nan,nan,nan,nan
"Balance, beginning of period",$,"(3,692)  $","(2,429)  $","(2,962)  $","(2,734)"
"Translation adjustments and other, net of tax of $0, $0, $0, and",nan,nan,nan,nan,nan
$0,nan,353,(294),(377),11
"Balance, end of period",$,"(3,339)  $","(2,723)  $","(3,339)  $","(2,723)"
"Accumulated other comprehensive loss, end of period",$,"(4,833)  $","(5,435)  $","(4,833)  $","(5,435)"
