0,1,2
(In millions),nan,nan
"Year Ending June 30,",nan,nan
"2025 (excluding the nine months ended March 31, 2025)",$,0
2026,nan,"3,000"
2027,nan,"9,250"
2028,nan,0
2029,nan,"1,890"
Thereafter,nan,"34,850"
Total,$,"48,990"
