Line Item,2020,2019,Category,Confidence
Assets Liabilities Assets Liabilities June,30.0,0.0,Other,0.4
June,30.0,0.0,Other,0.4
Designated as Hedging Instruments Foreign exchange contracts,54.0,93.0,Other,0.4
Interest rate contracts Not Designated as Hedging Instruments Foreign exchange contracts,334.0,172.0,Other,0.4
Other contracts,11.0,7.0,Other,0.4
Gross amounts of derivatives,399.0,272.0,Other,0.4
Gross amounts of derivatives offset in the balance sheet,154.0,113.0,Other,0.4
Cash collateral received,154.0,78.0,Other,0.4
Net amounts of derivatives,395.0,236.0,Net Income,0.4
term investments,13.0,0.0,Other,0.4
term assets Other current liabilities,334.0,221.0,Other,0.4
term liabilities,61.0,15.0,Other,0.4
as of June,30.0,2019.0,Other,0.4
