0,1,2,3,4,5,6
Total net sales,$,"383,285",$,"394,328",$,"365,817"
nan,nan,nan,nan,2023,nan,2022
-lived assets:,nan,nan,nan,nan,nan,nan
U.S.,nan,$,nan,"33,276",$,"31,119"
(1)China,nan,nan,nan,"5,778",nan,"7,260"
Other countries,nan,nan,nan,"4,661",nan,"3,738"
Total long-lived assets,nan,$,nan,"43,715",$,"42,117"
