0,1,2,4,6,7,10
"Proceeds from/(Repayments of) commercial paper, net",$,"(1,333",nan,"5,264",nan,(357
Maturities greater than 90 days:,nan,nan,nan,nan,nan,nan
Proceeds from commercial paper,—,nan,"5,948",nan,"7,946",nan
Repayments of commercial paper,"(2,645",nan,"(7,257",nan,"(6,567",nan
"Proceeds from/(Repayments of) commercial paper, net","(2,645",nan,"(1,309",nan,"1,379",nan
"Total proceeds from/(repayments of) commercial paper,net",$,"(3,978",nan,"3,955",nan,"1,022"
