0,1,2,3,4,5,8
Interest expense,"(3,933)",nan,"(2,931)",nan,"(2,645)",
"Other income/(expense), net",(382),nan,(228),nan,60,
"Total other income/(expense), net",nan,(565),nan,$,(334),258.0
