0,1,2,3,4,5
Right-of-use assets:,nan,nan,nan,nan,nan
Operating leases,Other non-current assets,$,"10,661",$,"10,417"
Finance leases,"Property, plant and equipment, net",nan,"1,015",nan,952
Total right-of-use assets,nan,$,"11,676",$,"11,369"
Lease liabilities:,nan,nan,nan,nan,nan
Operating leases,Other current liabilities,$,"1,410",$,"1,534"
nan,Other non-current liabilities,nan,"10,408",nan,"9,936"
Finance leases,Other current liabilities,nan,165,nan,129
nan,Other non-current liabilities,nan,859,nan,812
Total lease liabilities,nan,$,"12,842",$,"12,411"
