0,1,2,3
"Payments for acquisition of property, plant and equipment","(10,959)","(10,708)","(11,085)"
Other,"(1,337)","(2,086)",(385)
Cash generated by/(used in) investing activities,"3,705","(22,354)","(14,545)"
ancing activities:,nan,nan,nan
Payments for taxes related to net share settlement of equity awards,"(5,431)","(6,223)","(6,556)"
Payments for dividends and dividend equivalents,"(15,025)","(14,841)","(14,467)"
Repurchases of common stock,"(77,550)","(89,402)","(85,971)"
