0,1,2,3,4,5,6
sales:,nan,nan,nan,nan,nan,nan
U.S.,$,"138,573",$,"147,859",$,"133,803"
(1)China,nan,"72,559",nan,"74,200",nan,"68,366"
Other countries,nan,"172,153",nan,"172,269",nan,"163,648"
Total net sales,$,"383,285",$,"394,328",$,"365,817"
