0,1,2,3,4,5,6
Computed expected tax,$,"23,885",$,"25,012",$,"22,933"
"State taxes, net of federal effect",nan,"1,124",nan,"1,518",nan,"1,151"
Earnings of foreign subsidiaries,nan,"(5,744)",nan,"(4,366)",nan,"(4,715)"
"Research and development credit, net",nan,"(1,212)",nan,"(1,153)",nan,"(1,033)"
Excess tax benefits from equity awards,nan,"(1,120)",nan,"(1,871)",nan,"(2,137)"
Foreign-derived intangible income deduction,nan,—,nan,(296),nan,"(1,372)"
Other,nan,(192),nan,456,nan,(300)
Provision for income taxes,$,"16,741",$,"19,300",$,"14,527"
