0,1,2,3,4,5
nan,Maturities,Amount,Effective,Amount,Effective
nan,(calendar year),(in millions),Interest Rate,(in millions),Interest Rate
– 2022 debt issuances:,nan,nan,nan,nan,nan
Fixed-rate 0.000% – 4.650% notes,2024 – 2062,"$ 101,322",0.03% – 6.72%,"$ 111,824",0.03% – 4.78%
