0,2
"Consolidated Statements of Comprehensive Income for the years ended September 30, 2023,September 24, 2022 and September 25, 2021",29.0
"Consolidated Balance Sheets as of September 30, 2023 and September 24, 2022",
"Consolidated Statements of Shareholders’ Equity for the years ended September 30, 2023, September24, 2022 and September 25, 2021",31.0
"Consolidated Statements of Cash Flows for the years ended September 30, 2023, September 24, 2022and September 25, 2021",
Notes to Consolidated Financial Statements,33.0
Reports of Independent Registered Public Accounting Firm,
