0,1,2,3,4,5,6,7,8
ales by reportable segment:,nan,nan,nan,nan,nan,nan,nan,nan
Americas,$,"162,560",(4)%,$,"169,658",11 %,$,"153,306"
Europe,nan,"94,294",(1)%,nan,"95,118",7 %,nan,"89,307"
Greater China,nan,"72,559",(2)%,nan,"74,200",9 %,nan,"68,366"
Japan,nan,"24,257",(7)%,nan,"25,977",(9)%,nan,"28,482"
Rest of Asia Pacific,nan,"29,615",1 %,nan,"29,375",11 %,nan,"26,356"
Total net sales,$,"383,285",(3)%,$,"394,328",8 %,$,"365,817"
