0,3,4,7,8,11,12,15,16
Gross amounts of derivatives,884,nan,"(1,452",),331,nan,(800,)
Gross amounts of derivatives offset in the balance sheets,(301,),303,nan,(151,),152,nan
Cash collateral received,0,nan,(156,),0,nan,(104,)
