0,1,2,3
nan,nan,nan,"December 31,"
Risk Categories,Hypothetical Change,nan,2024  Impact
Foreign currency – Revenue,10% decrease in foreign exchange rates,$,"(9,903 )  Earnings"
Foreign currency –,10% decrease in foreign exchange rates,nan,nan
Investments,nan,nan,(25 )  Fair Value
Interest rate,100 basis point increase in U.S. treasury interest rates,nan,"(1,097 )  Fair Value"
Credit,100 basis point increase in credit spreads,nan,(315 )  Fair Value
Equity,10% decrease in equity market prices,nan,"(1,098 )  Earnings"
