0,1,2,3,4,5,6,7,8
nan,nan,2024,nan,2023,nan,2024,nan,2023
Net income available for common shareholders (A),$,"24,108",$,"21,870",$,"48,775",$,"44,161"
Weighted average outstanding shares of common stock,nan,nan,nan,nan,nan,nan,nan,nan
(B),nan,"7,435",nan,"7,432",nan,"7,434",nan,"7,431"
Dilutive effect of stock-based awards,nan,33,nan,36,nan,35,nan,34
Common stock and common stock equivalents (C),nan,"7,468",nan,"7,468",nan,"7,469",nan,"7,465"
Earnings Per Share,nan,nan,nan,nan,nan,nan,nan,nan
Basic (A/B),$,3.24,$,2.94,$,6.56,$,5.94
Diluted (A/C),$,3.23,$,2.93,$,6.53,$,5.92
