0,1,2,3,4,5,6,7,8
nan,nan,2024,nan,2023,nan,2024,nan,2023
Interest and dividends income,$,600,$,734,$,"1,281",$,"1,900"
Interest expense,nan,(594 ),nan,(909 ),nan,"(1,176 )",nan,"(1,434 )"
Net recognized gains (losses) on investments,nan,(860 ),nan,69,nan,(397 ),nan,(38 )
Net losses on derivatives,nan,(116 ),nan,(267 ),nan,(454 ),nan,(174 )
Net gains (losses) on foreign currency remeasurements,nan,(153 ),nan,36,nan,23,nan,(65 )
"Other, net",nan,"(1,165 )",nan,(169 ),nan,"(1,848 )",nan,(306 )
