0,1,2,3,4,5,6,7,8,9,10
nan,nan,2024,nan,2023,nan,nan,2024,nan,2023,nan
Research and development,$,"7,917",$,"7,142",11%,$,"15,461",$,"13,801",12%
As a percent of revenue,nan,11%,nan,12%,(1)ppt,nan,11%,nan,12%,(1)ppt
