0,1,2,3,4,5,6,7,8,9,10
nan,nan,2024,nan,2023,nan,nan,2024,nan,2023,nan
General and administrative,$,"1,823",$,"1,977",(8)%,$,"3,496",$,"3,451",1%
As a percent of revenue,nan,3%,nan,3%,0ppt,nan,3%,nan,3%,0ppt
