0,1,2,3,4,5,6
Declaration Date,Record Date,Payment Date,nan,Per Share,nan,Amount
nan,nan,nan,nan,nan,nan,(In millions)
"December 3, 2024","February 20, 2025","March 13, 2025",$,0.83,$,"6,171"
