Line Item,2020,2019,Category,Confidence
revenue,0.0,12.0,Revenue,0.7
As of September,26.0,2020.0,Other,0.4
be recognized within,22.0,2020.0,Other,0.4
| 2020 Form,10.0,41.0,Other,0.4
interest income,0.0,26.0,Other Income,0.7
"of September 26,",2020.0,0.0,Other,0.4
fair value hedges,0.0,465.0,Other,0.4
$465 million and,777.0,2020.0,Other,0.4
for 2020 and,2019.0,26.0,Other,0.4
"of September 26,",2020.0,28.0,Other,0.4
"and September 28,",2019.0,0.0,Other,0.4
