0,1,2,3,4,5,6
Long-term debt: (a),nan,nan,nan,nan,nan,nan
Principal payments,$,"2,250",$,"48,971",$,"51,221"
Interest payments,nan,"1,618",nan,"27,041",nan,"28,659"
Construction commitments (b),nan,"29,892",nan,"5,499",nan,"35,391"
"Operating and finance leases, including imputed interest (c)",nan,"12,250",nan,"160,475",nan,"172,725"
Purchase commitments (d),nan,"68,280",nan,"3,742",nan,"72,022"
Total,$,"114,290",$,"245,728",$,"360,018"
