0,1,2,3,4,5,6,7,8,9
"Year Ended June 30,",,nan,2024,,nan,2023,,nan,2022
First Quarter,11.0,$,"3,560",17.0,$,"4,600",21.0,$,"6,200"
Second Quarter,7.0,nan,"2,800",20.0,nan,"4,600",20.0,nan,"6,233"
Third Quarter,7.0,nan,"2,800",18.0,nan,"4,600",26.0,nan,"7,800"
Fourth Quarter,7.0,nan,"2,800",14.0,nan,"4,600",28.0,nan,"7,800"
Total,32.0,$,"11,960",69.0,$,"18,400",95.0,$,"28,033"
